Country,gender ratio
Afghanistan,107
Albania,97
Algeria,102
American Samoa,103
Andorra,110
Angola,97
Anguilla,99
Antigua and Barbuda,90
Argentina,96
Armenia,87
Aruba,92
Australia,99
Austria,95
Azerbaijan,96
Bahamas,96
Bahrain,135
Bangladesh,102
Barbados,94
Belarus,87
Belgium,96
Belize,102
Benin,102
Bermuda,95
Bhutan,112
Bolivia,99
Bosnia and Herzegovina,93
Botswana,100
Brazil,97
British Virgin Islands,104
Brunei Darussalam,107
Bulgaria,94
Burkina Faso,100
Burundi,96
Cambodia,96
Cameroon,100
Canada,98
Cape Verde,92
Cayman Islands,97
Central African Republic,97
Chad,99
Channel Islands,96
Chile,98
China,108
"China, Hong Kong SAR",90
"China, Macao SAR",91
Colombia,97
Comoros,101
Congo,100
"Congo, Dem. Republic of the",98
Cook Islands,105
Costa Rica,103
Croatia,93
Cuba,101
Cyprus,95
Czech Republic,96
Cote d'Ivoire,104
Denmark,98
Djibouti,100
Dominica,100
Dominican Republic,101
Ecuador,100
Egypt,101
El Salvador,89
Equatorial Guinea,98
Eritrea,97
Estonia,86
Ethiopia,99
Faeroe Islands,107
Falkland Islands,96
Fiji,103
Finland,96
France,95
French Guiana,100
French Polynesia,105
Gabon,100
Gambia,98
Georgia,89
Germany,96
Ghana,103
Gibraltar,101
Greece,98
Greenland,113
Grenada,100
Guadeloupe,92
Guam,104
Guatemala,95
Guinea,102
Guinea-Bissau,98
Guyana,105
Haiti,98
Holy See (Vatican City),91
Honduras,100
Hungary,90
Iceland,105
India,107
Indonesia,100
"Iran, Islamic Republic of",103
Iraq,102
Ireland,100
Israel,98
Italy,95
Jamaica,96
Japan,95
Jordan,105
Kazakhstan,91
Kenya,100
Kiribati,97
"Korea, Dem. People's Rep. of",98
"Korea, Republic of",98
Kuwait,147
Kyrgyzstan,97
Lao People's Dem. Republic,100
Latvia,85
Lebanon,96
Lesotho,89
Liberia,99
Libyan Arab Jamahiriya,107
Liechtenstein,97
Lithuania,88
Luxembourg,98
Macedonia,100
Madagascar,99
Malawi,99
Malaysia,103
Maldives,102
Mali,98
Malta,99
"Man, Isle of",98
Marshall Islands,103
Martinique,88
Mauritania,103
Mauritius,98
Mayotte,100
Mexico,97
"Micronesia, Fed. States of",104
"Moldova, Republic of",90
Monaco,94
Mongolia,98
Montenegro,97
Montserrat,98
Morocco,97
Mozambique,95
Myanmar,95
Namibia,97
Nauru,98
Nepal,99
Netherlands,98
Netherlands Antilles,87
New Caledonia,101
New Zealand,98
Nicaragua,98
Niger,100
Nigeria,100
Niue,100
Northern Mariana Islands,77
Norway,99
Occupied Palestinian Territory,104
Oman,129
Pakistan,106
Palau,116
Panama,102
Papua New Guinea,103
Paraguay,102
Peru,100
Philippines,101
Pitcairn,108
Poland,93
Portugal,94
Puerto Rico,92
Qatar,307
Romania,95
Russian Federation,86
Rwanda,94
Reunion,95
Saint Helena,98
Saint Kitts and Nevis,98
Saint Lucia,96
Saint Pierre and Miquelon,98
Saint Vincent and the Grenadines,102
Samoa,109
San Marino,99
Sao Tome and Principe,98
Saudi Arabia,121
Senegal,98
Serbia,98
Seychelles,101
Sierra Leone,95
Singapore,101
Slovakia,94
Slovenia,95
Solomon Islands,107
Somalia,98
South Africa,97
Spain,97
Sri Lanka,97
Sudan,101
Suriname,100
Swaziland,96
Sweden,99
Switzerland,95
Syrian Arab Republic,102
Tajikistan,98
"Tanzania, United Republic of",99
Thailand,97
Timor-Leste,104
Togo,98
Tokelau,101
Tonga,103
Trinidad and Tobago,95
Tunisia,101
Turkey,101
Turkmenistan,97
Turks and Caicos Islands,101
Tuvalu,87
Uganda,100
Ukraine,86
United Arab Emirates,205
United Kingdom,96
United States of America,97
United States Virgin Islands,90
Uruguay,93
Uzbekistan,99
Vanuatu,104
"Venezuela, Bolivarian Republic of",101
Viet Nam,98
Wallis and Futuna Islands,100
Western Sahara,112
Yemen,102
Zambia,100
Zimbabwe,94
