Canada,19
Sao Tome and Principe,-6
Turkmenistan,-3
Lithuania,-5
Cambodia,-5
Saint Kitts and Nevis,-2
Ethiopia,-6
The Gambia,-3
Swaziland,1
Argentina,0
Bolivia,-6
Cameroon,-9
Burkina Faso,-5
Ghana,-3
Saudi Arabia,1
Japan,35
Cape Verde,-2
Slovenia,-4
Guatemala,-2
Bosnia and Herzegovina,-4
The Bahamas,-6
Germany,59
Dominica,-1
Australia,4
Liberia,-7
Maldives,-6
Paraguay,-7
Pakistan,-2
Oman,-5
Tanzania,-3
Gabon,-6
New Zealand,-3
Yemen,-5
Jamaica,-1
Albania,-6
Samoa,0
United Arab Emirates,-6
India,33
Azerbaijan,-5
Madagascar,-6
Lesotho,-3
Saint Vincent and the Grenadines,-8
Kenya,-5
South Korea,22
Tajikistan,-6
Turkey,12
Afghanistan,-3
Bangladesh,-2
Eritrea,-5
Solomon Islands,-3
Saint Lucia,-5
Mongolia,-3
France,43
Rwanda,-6
Slovakia,-5
Somalia,-1
Peru,-5
Laos,-3
Norway,0
Cote d'Ivoire,-6
Benin,-5
Cuba,-4
Republic of the Congo,-1
Togo,-8
China,74
Armenia,-9
Dominican Republic,-1
Ukraine,1
Bahrain,-6
Tonga,-7
Finland,-3
Libya,-5
Indonesia,3
Central African Republic,-7
United States,91
Sweden,-2
Vietnam,-2
Mali,-5
Russia,18
Bulgaria,-3
Mauritius,0
Romania,0
Angola,-3
Chad,-3
South Africa,1
Fiji,-4
Malaysia,1
Austria,4
Mozambique,-5
Uganda,-7
Hungary,-3
Niger,2
Brazil,6
Guinea,-8
Panama,1
Costa Rica,-3
Luxembourg,-6
Ireland,-3
Nigeria,0
Ecuador,-4
Czech Republic,-3
Brunei,-6
Belarus,-4
Iran,-3
Algeria,-7
El Salvador,-2
Venezuela,0
Chile,-1
Belgium,20
Thailand,6
Haiti,0
Belize,-4
Sierra Leone,-6
Georgia,-7
Denmark,-5
Philippines,-5
Moldova,-5
Morocco,-4
Croatia,-3
Guinea-Bissau,-3
Switzerland,5
Grenada,-3
Seychelles,-3
Portugal,-2
Estonia,-4
Uruguay,-4
Equatorial Guinea,-10
Lebanon,-4
Uzbekistan,-4
Egypt,-3
Djibouti,-3
Antigua and Barbuda,5
Spain,19
Colombia,-2
Burundi,-7
Taiwan,-4
Cyprus,-1
Barbados,-6
Qatar,-3
Italy,45
Sudan,1
Nepal,-3
Malta,0
Democratic Republic of the Congo,2
Netherlands,32
Suriname,-5
Kuwait,-4
Israel,-4
Iceland,-3
Zambia,-5
Senegal,-4
Papua New Guinea,-3
Malawi,-8
Zimbabwe,-5
Jordan,-5
Vanuatu,-2
Kazakhstan,-4
Poland,0
Mauritania,-8
Kyrgyzstan,-6
Iraq,-2
Macedonia,-4
North Korea,-3
Trinidad and Tobago,1
Latvia,-3
Guyana,-3
Syria,-4
Burma,-4
Honduras,-3
Mexico,2
Tunisia,-3
Nicaragua,-2
Singapore,9
Comoros,-5
United Kingdom,-7
Greece,-6
Sri Lanka,-4
Botswana,1
